182415	1824	1824
182414	1824	1824
182413	1824	1824
182411	1824	1824
182410	1824	1824
182409	1824	1824
182407	1824	1824
182403	1824	1824
182401	1824	1824
182341	1823	1823
182340	1823	1823
182339	1823	1823
182338	1823	1823
182337	1823	1823
182336	1823	1823
182335	1823	1823
182329	1823	1823
182327	1823	1823
182325	1823	1823
182323	1823	1823
182322	1823	1823
182321	1823	1823
182320	1823	1823
182319	1823	1823
182318	1823	1823
182317	1823	1823
182316	1823	1823
182315	1823	1823
182310	1823	1823
182307	1823	1823
182306	1823	1823
182305	1823	1823
182304	1823	1823
182301	1823	1823
182208	1822	1822
182206	1822	1822
182205	1822	1822
182204	1822	1822
182203	1822	1822
182133	1821	1821
182132	1821	1821
182131	1821	1821
182130	1821	1821
182129	1821	1821
182128	1821	1821
182127	1821	1821
182122	1821	1821
182118	1821	1821
182116	1821	1821
182111	1821	1821
182110	1821	1821
182109	1821	1821
182108	1821	1821
182107	1821	1821
182106	1821	1821
182105	1821	1821
182103	1821	1821
182102	1821	1821
182013	1820	1820
182012	1820	1820
182011	1820	1820
182009	1820	1820
182006	1820	1820
182005	1820	1820
182004	1820	1820
181921	1819	1819
181920	1819	1819
181919	1819	1819
181918	1819	1819
181917	1819	1819
181914	1819	1819
181913	1819	1819
181908	1819	1819
181906	1819	1819
181905	1819	1819
181904	1819	1819
181902	1819	1819
181901	1819	1819
181821	1818	1818
181820	1818	1818
181819	1818	1818
181818	1818	1818
181817	1818	1818
181814	1818	1818
181811	1818	1818
181810	1818	1818
181806	1818	1818
181804	1818	1818
181803	1818	1818
181802	1818	1818
181801	1818	1818
181714	1817	1817
181713	1817	1817
181711	1817	1817
181710	1817	1817
181709	1817	1817
181707	1817	1817
181706	1817	1817
181704	1817	1817
181702	1817	1817
181623	1816	1816
181622	1816	1816
181621	1816	1816
181620	1816	1816
181619	1816	1816
181617	1816	1816
181616	1816	1816
181615	1816	1816
181612	1816	1816
181609	1816	1816
181608	1816	1816
181607	1816	1816
181606	1816	1816
181602	1816	1816
181517	1815	1815
181516	1815	1815
181515	1815	1815
181512	1815	1815
181511	1815	1815
181509	1815	1815
181507	1815	1815
181505	1815	1815
181504	1815	1815
181502	1815	1815
181501	1815	1815
181412	1814	1814
181411	1814	1814
181410	1814	1814
181406	1814	1814
181405	1814	1814
181403	1814	1814
181319	1813	1813
181318	1813	1813
181317	1813	1813
181316	1813	1813
181314	1813	1813
181313	1813	1813
181312	1813	1813
181311	1813	1813
181310	1813	1813
181303	1813	1813
181302	1813	1813
181211	1812	1812
181210	1812	1812
181209	1812	1812
181208	1812	1812
181207	1812	1812
181203	1812	1812
181202	1812	1812
181115	1811	1811
181114	1811	1811
181112	1811	1811
181111	1811	1811
181110	1811	1811
181109	1811	1811
181106	1811	1811
181105	1811	1811
181104	1811	1811
181103	1811	1811
181102	1811	1811
181015	1810	1810
181014	1810	1810
181013	1810	1810
181009	1810	1810
181008	1810	1810
181007	1810	1810
181005	1810	1810
181002	1810	1810
180911	1809	1809
180910	1809	1809
180908	1809	1809
180906	1809	1809
180905	1809	1809
180903	1809	1809
180901	1809	1809
180811	1808	1808
180809	1808	1808
180808	1808	1808
180807	1808	1808
180805	1808	1808
180804	1808	1808
180802	1808	1808
180723	1807	1807
180722	1807	1807
180721	1807	1807
180720	1807	1807
180719	1807	1807
180717	1807	1807
180716	1807	1807
180713	1807	1807
180710	1807	1807
180709	1807	1807
180708	1807	1807
180707	1807	1807
180706	1807	1807
180705	1807	1807
180703	1807	1807
180702	1807	1807
180622	1806	1806
180621	1806	1806
180620	1806	1806
180619	1806	1806
180616	1806	1806
