06/fev/18;CIV;MARKA;8;20,18;03/05/2018;05/04/2018;05/04/2018;11/04/2018;C;20183110;OpenGL 4 shading language cookbook;2ª ed.;16/04/2018;;16/04/2018;16/04/2018;004.92 WOL;16/04/2018;8;3
06/fev/18;CIV;MARKA;8;14,18;03/05/2018;06/04/2018;06/04/2018;11/04/2018;C;20183108;OpenGL SuperBible;7ª ed.;16/04/2018;;16/04/2018;16/04/2018;004.92 SEL;16/04/2018;7;2
06/fev/18;CIV;MARKA;8;17,18;03/05/2018;06/04/2018;06/04/2018;11/04/2018;C;20183121;Applied building physics;2ª ed.;17/04/2018;;17/04/2018;17/04/2018;69 HEN;17/04/2018;8;3
09/mar/18;GES;Pretexto;16;53,18;23/04/2019;23/04/2018;23/04/2018;26/04/2018;C;20183165;Guia da arbitragem tributária;3ª ed.;26/04/2018;;26/04/2018;26/04/2018;336.22 GUI;26/04/2018;4;
09/mar/18;GES;Pretexto;16;54,18;23/04/2019;23/04/2018;23/04/2018;26/04/2018;C;20183166;Guia da arbitragem tributária;3ª ed.;26/04/2018;;26/04/2018;26/04/2018;336.22 GUI;26/04/2018;4;
09/mar/18;GES;Pretexto;16;51,18;23/04/2019;23/04/2018;23/04/2018;26/04/2018;C;20183167;Títulos de crédito;2ªed.;26/04/2018;;26/04/2018;26/04/2018;347 FUR;26/04/2018;4;
09/mar/18;GES;Pretexto;16;52,18;23/04/2019;23/04/2018;23/04/2018;26/04/2018;C;20183168;Títulos de crédito;2ªed.;26/04/2018;;26/04/2018;26/04/2018;347 FUR;26/04/2018;4;
01/mar/18;MEC;Pretexto;16;49,18;23/04/2019;23/04/2018;23/04/2018;26/04/2018;C;20183169;Mecânica dos fluidos;5ªed.;26/04/2018;;26/04/2018;26/04/2018;532 OLI;26/04/2018;4;
01/mar/18;MEC;Pretexto;16;50,18;23/04/2019;23/04/2018;23/04/2018;26/04/2018;C;20183170;Mecânica dos fluidos;5ªed.;26/04/2018;;26/04/2018;26/04/2018;532 OLI;26/04/2018;4;
23/mar/18;GES;Rei dos livros;10;36,18;04/11/2018;26/04/2018;26/04/2018;30/04/2018;C;20183173;Contabilidade financeira;9ªed.;30/04/2018;;30/04/2018;30/04/2018;657 COS;30/04/2018;3;
